phase,url,title,title_length,duplicate_title,meta_description,description_length,duplicate_description,h1,h1_count,canonical,lang,og_title,og_description,og_url,og_image,twitter_card,author,issues
after,https://docs.kujolang.ai/,Kujo Docs,9,no,"The shortest path from language basics to reviewable, local-first software.",75,no,Kujo Docs,1,https://docs.kujolang.ai/,en,Kujo Docs,"The shortest path from language basics to reviewable, local-first software.",https://docs.kujolang.ai/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/agent-credentials/,Manage Agent Credentials and Connectors | Kujo Docs,51,no,"Store reusable provider keys safely, configure project overrides, and connect Kujo Agent Projects without putting secrets in commands or Git.",141,no,Manage Agent Credentials and Connectors,1,https://docs.kujolang.ai/build/agent-credentials/,en,Manage Agent Credentials and Connectors,"Store reusable provider keys safely, configure project overrides, and connect Kujo Agent Projects without putting secrets in commands or Git.",https://docs.kujolang.ai/build/agent-credentials/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/agent-operations/,Operate and Harden Agent Projects | Kujo Docs,45,no,"Diagnose, inspect, run, evaluate, automate, and isolate a repository-owned Kujo Agent Project.",94,no,Operate and Harden Agent Projects,1,https://docs.kujolang.ai/build/agent-operations/,en,Operate and Harden Agent Projects,"Diagnose, inspect, run, evaluate, automate, and isolate a repository-owned Kujo Agent Project.",https://docs.kujolang.ai/build/agent-operations/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/agent-profiles/,Choose an Agent Project Profile | Kujo Docs,43,no,"Select the smallest Kujo Agent Project profile that matches the tools, knowledge, workflow, isolation, and observability you need.",130,no,Choose an Agent Project Profile,1,https://docs.kujolang.ai/build/agent-profiles/,en,Choose an Agent Project Profile,"Select the smallest Kujo Agent Project profile that matches the tools, knowledge, workflow, isolation, and observability you need.",https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/ai-and-agents/,AI and agents | Kujo Docs,25,no,"Move from a repository-owned agent or normalized model call to tools, approvals, handoffs, and local state.",107,no,AI and agents,1,https://docs.kujolang.ai/build/ai-and-agents/,en,AI and agents,"Move from a repository-owned agent or normalized model call to tools, approvals, handoffs, and local state.",https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/applications-and-publishing/,Applications and publishing | Kujo Docs,39,no,"Choose a copyable application surface for chat, APIs, content, or deterministic static publishing.",98,no,Applications and publishing,1,https://docs.kujolang.ai/build/applications-and-publishing/,en,Applications and publishing,"Choose a copyable application surface for chat, APIs, content, or deterministic static publishing.",https://docs.kujolang.ai/build/applications-and-publishing/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/editorial-publishing/,Editorial publishing | Kujo Docs,32,no,"Move a commissioned idea through evidence, review, packaging, approval, publication, and learning.",98,no,Editorial publishing,1,https://docs.kujolang.ai/build/editorial-publishing/,en,Editorial publishing,"Move a commissioned idea through evidence, review, packaging, approval, publication, and learning.",https://docs.kujolang.ai/build/editorial-publishing/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/,Build | Kujo Docs,17,no,"Build applications, agents, retrieval systems, workflows, and publishing systems with Kujo.",91,no,Build with Kujo,1,https://docs.kujolang.ai/build/,en,Build,"Build applications, agents, retrieval systems, workflows, and publishing systems with Kujo.",https://docs.kujolang.ai/build/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,Knowledge and retrieval | Kujo Docs,35,no,"Ingest local knowledge and answer with namespaces, citations, and offline fallbacks.",84,no,Knowledge and retrieval,1,https://docs.kujolang.ai/build/knowledge-and-retrieval/,en,Knowledge and retrieval,"Ingest local knowledge and answer with namespaces, citations, and offline fallbacks.",https://docs.kujolang.ai/build/knowledge-and-retrieval/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/owned-agent-projects/,Repository-owned Agent Projects | Kujo Docs,43,no,"Install Kujo's agent platform, create a repository-owned agent, and prove its local lifecycle.",94,no,Repository-owned Agent Projects,1,https://docs.kujolang.ai/build/owned-agent-projects/,en,Repository-owned Agent Projects,"Install Kujo's agent platform, create a repository-owned agent, and prove its local lifecycle.",https://docs.kujolang.ai/build/owned-agent-projects/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/publishing-house-operator/,Publishing House operator | Kujo Docs,37,no,"Run publication-profile-driven editorial work through a resumable, policy-bound Kujo control loop.",98,no,Publishing House operator,1,https://docs.kujolang.ai/build/publishing-house-operator/,en,Publishing House operator,"Run publication-profile-driven editorial work through a resumable, policy-bound Kujo control loop.",https://docs.kujolang.ai/build/publishing-house-operator/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/web-operations/,Web operations | Kujo Docs,26,no,"Move from site source to crawl evidence, search data, content relationships, browser proof, and bounded fixes.",110,no,Web operations,1,https://docs.kujolang.ai/build/web-operations/,en,Web operations,"Move from site source to crawl evidence, search data, content relationships, browser proof, and bounded fixes.",https://docs.kujolang.ai/build/web-operations/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
after,https://docs.kujolang.ai/build/workflows-and-approvals/,Workflows and approvals | Kujo Docs,35,no,"Turn a sequence of steps into bounded, resumable, and auditable work.",69,no,Workflows and approvals,1,https://docs.kujolang.ai/build/workflows-and-approvals/,en,Workflows and approvals,"Turn a sequence of steps into bounded, resumable, and auditable work.",https://docs.kujolang.ai/build/workflows-and-approvals/,https://docs.kujolang.ai/assets/img/social/kujo-docs.jpg,summary_large_image,Kujo,
