phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://docs.kujolang.ai/,templates/page-home.html,home,200,,yes,"default index,follow",https://docs.kujolang.ai/,200,Kujo Docs,9,"The shortest path from language basics to reviewable, local-first software.",75,Kujo Docs,"H1:Kujo Docs > H2:A path, not a warehouse. > H3:Get the toolchain > H3:Run one program > H3:Create an agent > H3:Keep work reviewable",225,en,,,Kujo,no,Organization|WebSite,100,30,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,0,no,yes,no,no,2a364a614994583a6ab918dfcb842a33fccaf948e30bf319ea15b2fe3f8d186d,
after,https://docs.kujolang.ai/build/agent-credentials/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/agent-credentials/,200,Manage Agent Credentials and Connectors | Kujo Docs,51,"Store reusable provider keys safely, configure project overrides, and connect Kujo Agent Projects without putting secrets in commands or Git.",141,Manage Agent Credentials and Connectors,H1:Manage Agent Credentials and Connectors > H2:Save a provider key once > H2:Use safe automation inputs > H2:Choose credential scope > H2:Add API-key connectors > H2:On this page,387,en,,,Kujo,no,BlogPosting|Organization,9,30,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,34cbabb80503695cc69b712c97ffbd44474c982912f3e725d76762b931a06d50,
after,https://docs.kujolang.ai/build/agent-operations/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/agent-operations/,200,Operate and Harden Agent Projects | Kujo Docs,45,"Diagnose, inspect, run, evaluate, automate, and isolate a repository-owned Kujo Agent Project.",94,Operate and Harden Agent Projects,H1:Operate and Harden Agent Projects > H2:Diagnose without spending model tokens > H2:Run prompts and prompt files > H2:Isolate effects with Workcell > H2:Make the run reviewable > H2:On this page,358,en,,,Kujo,no,BlogPosting|Organization,8,31,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,34b43753afcd9bfb2204658ec490a310477b16acd1cf1d224954c23764bbb9ab,
after,https://docs.kujolang.ai/build/agent-profiles/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/agent-profiles/,200,Choose an Agent Project Profile | Kujo Docs,43,"Select the smallest Kujo Agent Project profile that matches the tools, knowledge, workflow, isolation, and observability you need.",130,Choose an Agent Project Profile,H1:Choose an Agent Project Profile > H2:Profiles > H2:Inspect before running > H2:Understand integration ownership > H2:On this page,358,en,,,Kujo,no,BlogPosting|Organization,7,39,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,fe8e68a06072af52fd10aef8f7d0d86e6b0381b0ec04e6d4e43efef74c10e115,
after,https://docs.kujolang.ai/build/ai-and-agents/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/ai-and-agents/,200,AI and agents | Kujo Docs,25,"Move from a repository-owned agent or normalized model call to tools, approvals, handoffs, and local state.",107,AI and agents,H1:AI and agents,244,en,,,Kujo,no,BlogPosting|Organization,6,38,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,ba72428973c6939a28838eeb76ffc8a708abc47d5d48134afa0036b8be7fff7a,
after,https://docs.kujolang.ai/build/applications-and-publishing/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/applications-and-publishing/,200,Applications and publishing | Kujo Docs,39,"Choose a copyable application surface for chat, APIs, content, or deterministic static publishing.",98,Applications and publishing,H1:Applications and publishing,169,en,,,Kujo,no,BlogPosting|Organization,2,37,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,dcaa3f7951df5cde0e101af3651085ddff5fa1071a5f3fbfd4ab5364a6a77849,
after,https://docs.kujolang.ai/build/editorial-publishing/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/editorial-publishing/,200,Editorial publishing | Kujo Docs,32,"Move a commissioned idea through evidence, review, packaging, approval, publication, and learning.",98,Editorial publishing,H1:Editorial publishing,291,en,,,Kujo,no,BlogPosting|Organization,3,36,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,e6cd4f757fc98339899ab3b5d3b4727aa587cf2269f5b29763226449db4a4310,
after,https://docs.kujolang.ai/build/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/,200,Build | Kujo Docs,17,"Build applications, agents, retrieval systems, workflows, and publishing systems with Kujo.",91,Build with Kujo,H1:Build with Kujo > H2:Repository-owned Agent Projects > H2:Agent profiles > H2:Agent credentials > H2:Agent operations > H2:AI and agents > H2:Workflows and approvals > H2:Knowledge and retrieval > H2:Applications and publishing > H2:Web operations > H2:Editorial publishing,184,en,,,Kujo,no,Organization|WebSite,192,31,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,1,no,yes,no,no,399e83022da2926e91b9c79ccdf556cd7cd4b6b2684965a4e70ac9a41f63539a,
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/knowledge-and-retrieval/,200,Knowledge and retrieval | Kujo Docs,35,"Ingest local knowledge and answer with namespaces, citations, and offline fallbacks.",84,Knowledge and retrieval,H1:Knowledge and retrieval,117,en,,,Kujo,no,BlogPosting|Organization,4,30,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,017d165f297e7ccf1349328a1d3ef5232f140d0c34b7dfb816ab7a836beda1eb,
after,https://docs.kujolang.ai/build/owned-agent-projects/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/owned-agent-projects/,200,Repository-owned Agent Projects | Kujo Docs,43,"Install Kujo's agent platform, create a repository-owned agent, and prove its local lifecycle.",94,Repository-owned Agent Projects,H1:Repository-owned Agent Projects > H2:Install the focused agent toolchain > H2:Create and run an agent > H2:Prove the complete local lifecycle > H2:Continue building > H2:On this page,348,en,,,Kujo,no,BlogPosting|Organization,12,31,5,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,1,no,yes,no,no,6c48150f8dcef73e4d7905a52d43999a3ef1d6f5be95279aade590905df1a5da,
after,https://docs.kujolang.ai/build/publishing-house-operator/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/publishing-house-operator/,200,Publishing House operator | Kujo Docs,37,"Run publication-profile-driven editorial work through a resumable, policy-bound Kujo control loop.",98,Publishing House operator,"H1:Publishing House operator > H2:Ownership > H2:Configure publications > H2:Intake and planning > H2:Operate the queue > H2:Configure live execution > H2:Approval and publication safety > H2:Events, documentation, and learning > H2:Production deployment gates > H2:On this page",1081,en,,,Kujo,no,BlogPosting|Organization,2,31,4,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,3,no,yes,no,no,0496a50534fdaa760f2de13de26ba14bd2861e0202db21bf59c3b42e03928e61,
after,https://docs.kujolang.ai/build/web-operations/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/web-operations/,200,Web operations | Kujo Docs,26,"Move from site source to crawl evidence, search data, content relationships, browser proof, and bounded fixes.",110,Web operations,H1:Web operations,222,en,,,Kujo,no,BlogPosting|Organization,2,33,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,e6f6ee882dc554657a9a0d0dd97e4b9364b693c2d72413d1df625e2da3d863fb,
after,https://docs.kujolang.ai/build/workflows-and-approvals/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/build/workflows-and-approvals/,200,Workflows and approvals | Kujo Docs,35,"Turn a sequence of steps into bounded, resumable, and auditable work.",69,Workflows and approvals,H1:Workflows and approvals,112,en,,,Kujo,no,BlogPosting|Organization,3,33,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,11cf989ecc046669508cad475becec7e58ad82ecb738d911ab921d2920a0082c,
after,https://docs.kujolang.ai/choose-a-path/,content/pages/choose-a-path.md,page,200,,yes,"default index,follow",https://docs.kujolang.ai/choose-a-path/,200,Choose a path | Kujo Docs,25,Start with an intent and one small next step instead of browsing the whole ecosystem.,85,Choose a path,H1:Choose a path,214,en,,,Kujo,no,Organization|WebSite,94,75,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,c0f6a3e99b06943b1a7be65a400cdf5c7ebd574ad7928cef69ba8c96d695c25f,
after,https://docs.kujolang.ai/collections/agents/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/collections/agents/,200,Agents | Kujo Docs,18,"Reusable role contracts, chain of command, and evidence expectations.",69,Agents,H1:Agents,91,en,,,Kujo,no,BlogPosting|Organization,4,31,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,511c5e790a535cac779c9652833464b6aba5d58f33ecb1d71d23db2e07692134,
after,https://docs.kujolang.ai/collections/benchmarks/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/collections/benchmarks/,200,Benchmarks | Kujo Docs,22,"Benchmark methodology, fixtures, scorecards, and reproducibility limits.",72,Benchmarks,H1:Benchmarks,119,en,,,Kujo,no,BlogPosting|Organization,3,29,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,00289dfa5a04125937773b37ba471eb11045d1a9d7d24a3f60c85e045129edd7,
after,https://docs.kujolang.ai/collections/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/collections/,200,Collections | Kujo Docs,23,"Browse Kujo workflows, skills, agents, and reproducible benchmarks.",67,Collections,H1:Collections > H2:Skills > H2:Workflows > H2:Agents > H2:Benchmarks,71,en,,,Kujo,no,Organization|WebSite,94,19,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,1,no,yes,no,no,a00c493062bc17e97915ce1d5ef14abcc63d15a748b7f2a8b2ffd285cb0974da,
after,https://docs.kujolang.ai/collections/skills/,generated route,page,200,,yes,"default index,follow",https://docs.kujolang.ai/collections/skills/,200,Skills | Kujo Docs,18,"Install, select, and validate Kujo-specific Agent Skills.",57,Skills,H1:Skills > H2:Start with the Kujo Way > H2:Browse the catalog > H2:On this page,207,en,,,Kujo,no,BlogPosting|Organization,4,29,4,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,cc542a1f21e790ef01f66edc50e5103b82110259a9872e459c15752985172615,
