phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
after,https://docs.kujolang.ai/,home,Introduce Kujo and route visitors,Developers and AI-software teams,brand/category,Kujo programming language,217,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/agent-credentials/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Manage Agent Credentials and Connectors,385,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/agent-operations/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Operate and Harden Agent Projects,356,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/agent-profiles/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Choose an Agent Project Profile,356,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/ai-and-agents/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,AI and agents,242,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/applications-and-publishing/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Applications and publishing,167,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/editorial-publishing/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Editorial publishing,289,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Build with Kujo,184,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Knowledge and retrieval,115,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://docs.kujolang.ai/build/owned-agent-projects/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Repository-owned Agent Projects,346,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
