phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
after,https://docs.kujolang.ai/,home,Explain Kujo programming language and its documented boundaries,Developers and AI-software teams,brand/category,Kujo programming language,217,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/agent-credentials/,page,Explain Manage Agent Credentials and Connectors and its documented boundaries,Developers and AI-software teams,informational,Manage Agent Credentials and Connectors,385,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/agent-operations/,page,Explain Operate and Harden Agent Projects and its documented boundaries,Developers and AI-software teams,informational,Operate and Harden Agent Projects,356,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/agent-profiles/,page,Explain Choose an Agent Project Profile and its documented boundaries,Developers and AI-software teams,informational,Choose an Agent Project Profile,356,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/ai-and-agents/,page,Explain AI and agents and its documented boundaries,Developers and AI-software teams,informational,AI and agents,242,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/applications-and-publishing/,page,Explain Applications and publishing and its documented boundaries,Developers and AI-software teams,informational,Applications and publishing,167,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/editorial-publishing/,page,Explain Editorial publishing and its documented boundaries,Developers and AI-software teams,informational,Editorial publishing,289,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/,page,Explain Build with Kujo and its documented boundaries,Developers and AI-software teams,informational,Build with Kujo,184,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,page,Explain Knowledge and retrieval and its documented boundaries,Developers and AI-software teams,informational,Knowledge and retrieval,115,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/owned-agent-projects/,page,Explain Repository-owned Agent Projects and its documented boundaries,Developers and AI-software teams,informational,Repository-owned Agent Projects,346,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/publishing-house-operator/,page,Explain Publishing House operator and its documented boundaries,Developers and AI-software teams,informational,Publishing House operator,1079,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/web-operations/,page,Explain Web operations and its documented boundaries,Developers and AI-software teams,informational,Web operations,220,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/build/workflows-and-approvals/,page,Explain Workflows and approvals and its documented boundaries,Developers and AI-software teams,informational,Workflows and approvals,110,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/choose-a-path/,page,Explain Choose a path and its documented boundaries,Developers and AI-software teams,informational,Choose a path,212,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/collections/agents/,page,Explain Agents and its documented boundaries,Developers and AI-software teams,informational,Agents,89,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/collections/benchmarks/,page,Explain Benchmarks and its documented boundaries,Developers and AI-software teams,informational,Benchmarks,117,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/collections/,page,Explain Collections and its documented boundaries,Developers and AI-software teams,informational,Collections,71,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/collections/skills/,page,Explain Skills and its documented boundaries,Developers and AI-software teams,informational,Skills,205,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/collections/workflows/,page,Explain Workflows and its documented boundaries,Developers and AI-software teams,informational,Workflows,178,First-party project information,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
after,https://docs.kujolang.ai/ecosystem/core-foundation/,software-detail,Explain Core / Foundation and its documented boundaries,Developers and AI-software teams,technical adoption,Core / Foundation,172,Repository/source links and explicit operating boundaries,No rendered modified date,Editorial hypothesis; citation outcomes require platform evidence,,Measurement/editorial review required,Review actual user queries and citation evidence before broader editorial changes
