phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://docs.kujolang.ai/,templates/page-home.html,home,200,200,yes,"default index,follow",https://docs.kujolang.ai/,200,Kujo Docs,9,"The shortest path from language basics to reviewable, local-first software.",75,Kujo Docs,"H1:Kujo Docs > H2:A path, not a warehouse. > H3:Get the toolchain > H3:Run one program > H3:Create an agent > H3:Keep work reviewable",217,en,,,Kujo,no,Organization|WebSite,99,28,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,0,no,yes,no,no,612dde5d90e49f3f83267e15a43719feefbd98c2e5f9257e6bc76ef6e53309ac,
after,https://docs.kujolang.ai/build/agent-credentials/,content/build/agent-credentials.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/agent-credentials/,200,Manage Agent Credentials and Connectors | Kujo Docs,51,"Store reusable provider keys safely, configure project overrides, and connect Kujo Agent Projects without putting secrets in commands or Git.",141,Manage Agent Credentials and Connectors,H1:Manage Agent Credentials and Connectors > H2:Save a provider key once > H2:Use safe automation inputs > H2:Choose credential scope > H2:Add API-key connectors > H2:On this page,385,en,,,Kujo,no,BlogPosting|Organization|Person,9,29,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,b359f7ec2ac75700c065bc3a982648e1e3110a69e2408e561b9fb33407e84a7f,
after,https://docs.kujolang.ai/build/agent-operations/,content/build/agent-operations.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/agent-operations/,200,Operate and Harden Agent Projects | Kujo Docs,45,"Diagnose, inspect, run, evaluate, automate, and isolate a repository-owned Kujo Agent Project.",94,Operate and Harden Agent Projects,H1:Operate and Harden Agent Projects > H2:Diagnose without spending model tokens > H2:Run prompts and prompt files > H2:Isolate effects with Workcell > H2:Make the run reviewable > H2:On this page,356,en,,,Kujo,no,BlogPosting|Organization|Person,8,30,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,521d23dd5f523782c98038d0a077f812c7419528d063b650485632eaf1fefbba,
after,https://docs.kujolang.ai/build/agent-profiles/,content/build/agent-profiles.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/agent-profiles/,200,Choose an Agent Project Profile | Kujo Docs,43,"Select the smallest Kujo Agent Project profile that matches the tools, knowledge, workflow, isolation, and observability you need.",130,Choose an Agent Project Profile,H1:Choose an Agent Project Profile > H2:Profiles > H2:Inspect before running > H2:Understand integration ownership > H2:On this page,356,en,,,Kujo,no,BlogPosting|Organization|Person,7,38,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,0526daf6b7a5b4f8ba74a0c27b1064162377bc147b88159536d649a8ae6742a9,
after,https://docs.kujolang.ai/build/ai-and-agents/,content/build/ai-and-agents.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/ai-and-agents/,200,AI and agents | Kujo Docs,25,"Move from a repository-owned agent or normalized model call to tools, approvals, handoffs, and local state.",107,AI and agents,H1:AI and agents,242,en,,,Kujo,no,BlogPosting|Organization|Person,6,37,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,40bc858b17673c130111e1788a9e7b521e0279df3bb2cd5efe02e502429865cc,
after,https://docs.kujolang.ai/build/applications-and-publishing/,content/build/applications-and-publishing.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/applications-and-publishing/,200,Applications and publishing | Kujo Docs,39,"Choose a copyable application surface for chat, APIs, content, or deterministic static publishing.",98,Applications and publishing,H1:Applications and publishing,167,en,,,Kujo,no,BlogPosting|Organization|Person,2,36,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,b4e05741d42866cb98553d95a1ce61831804c4d192fc548f28f5a28e922e8731,
after,https://docs.kujolang.ai/build/editorial-publishing/,content/build/editorial-publishing.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/editorial-publishing/,200,Editorial publishing | Kujo Docs,32,"Move a commissioned idea through evidence, review, packaging, approval, publication, and learning.",98,Editorial publishing,H1:Editorial publishing,289,en,,,Kujo,no,BlogPosting|Organization|Person,3,35,2,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,f2e03294f7d8c5fcb091c556911a6e17d51ffa87c879a0c8e8fef4fb548b5c29,
after,https://docs.kujolang.ai/build/,generated route,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/,200,Build | Kujo Docs,17,"Build applications, agents, retrieval systems, workflows, and publishing systems with Kujo.",91,Build with Kujo,H1:Build with Kujo > H2:Repository-owned Agent Projects > H2:Agent profiles > H2:Agent credentials > H2:Agent operations > H2:AI and agents > H2:Workflows and approvals > H2:Knowledge and retrieval > H2:Applications and publishing > H2:Web operations > H2:Editorial publishing,184,en,,,Kujo,no,Organization|WebSite,190,31,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,1,no,yes,no,no,399e83022da2926e91b9c79ccdf556cd7cd4b6b2684965a4e70ac9a41f63539a,
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,content/build/knowledge-and-retrieval.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/knowledge-and-retrieval/,200,Knowledge and retrieval | Kujo Docs,35,"Ingest local knowledge and answer with namespaces, citations, and offline fallbacks.",84,Knowledge and retrieval,H1:Knowledge and retrieval,115,en,,,Kujo,no,BlogPosting|Organization|Person,4,29,1,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,2,no,yes,no,no,0c9c38a8b1ffe0721dabd3c90535a7067aa110cd2154c27aea81a12630aeffda,
after,https://docs.kujolang.ai/build/owned-agent-projects/,content/build/owned-agent-projects.md,page,200,200,yes,"default index,follow",https://docs.kujolang.ai/build/owned-agent-projects/,200,Repository-owned Agent Projects | Kujo Docs,43,"Install Kujo's agent platform, create a repository-owned agent, and prove its local lifecycle.",94,Repository-owned Agent Projects,H1:Repository-owned Agent Projects > H2:Install the focused agent toolchain > H2:Create and run an agent > H2:Prove the complete local lifecycle > H2:Continue building > H2:On this page,346,en,,,Kujo,no,BlogPosting|Organization|Person,12,30,5,0,NOT AVAILABLE — DATA ACCESS REQUIRED,2,0,0,1,no,yes,no,no,1819a1d5eddf3e677b01ce32b139ccd3b8a53da68f8661378e90a606a2940e18,
