phase,url,local_status,production_status,robots_directives,canonical,canonical_target_status,sitemap_included,indexable,issues
baseline,https://docs.kujolang.ai/,200,200,"default index,follow",https://docs.kujolang.ai/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/agent-credentials/,200,200,"default index,follow",https://docs.kujolang.ai/build/agent-credentials/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/agent-operations/,200,200,"default index,follow",https://docs.kujolang.ai/build/agent-operations/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/agent-profiles/,200,200,"default index,follow",https://docs.kujolang.ai/build/agent-profiles/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/ai-and-agents/,200,200,"default index,follow",https://docs.kujolang.ai/build/ai-and-agents/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/applications-and-publishing/,200,200,"default index,follow",https://docs.kujolang.ai/build/applications-and-publishing/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/editorial-publishing/,200,200,"default index,follow",https://docs.kujolang.ai/build/editorial-publishing/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/,200,200,"default index,follow",https://docs.kujolang.ai/build/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/knowledge-and-retrieval/,200,200,"default index,follow",https://docs.kujolang.ai/build/knowledge-and-retrieval/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,200,200,"default index,follow",https://docs.kujolang.ai/build/owned-agent-projects/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,200,200,"default index,follow",https://docs.kujolang.ai/build/publishing-house-operator/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/web-operations/,200,200,"default index,follow",https://docs.kujolang.ai/build/web-operations/,200,yes,yes,
baseline,https://docs.kujolang.ai/build/workflows-and-approvals/,200,200,"default index,follow",https://docs.kujolang.ai/build/workflows-and-approvals/,200,yes,yes,
baseline,https://docs.kujolang.ai/choose-a-path/,200,200,"default index,follow",https://docs.kujolang.ai/choose-a-path/,200,yes,yes,
baseline,https://docs.kujolang.ai/collections/agents/,200,200,"default index,follow",https://docs.kujolang.ai/collections/agents/,200,yes,yes,
baseline,https://docs.kujolang.ai/collections/benchmarks/,200,200,"default index,follow",https://docs.kujolang.ai/collections/benchmarks/,200,yes,yes,
baseline,https://docs.kujolang.ai/collections/,200,200,"default index,follow",https://docs.kujolang.ai/collections/,200,yes,yes,
baseline,https://docs.kujolang.ai/collections/skills/,200,200,"default index,follow",https://docs.kujolang.ai/collections/skills/,200,yes,yes,
baseline,https://docs.kujolang.ai/collections/workflows/,200,200,"default index,follow",https://docs.kujolang.ai/collections/workflows/,200,yes,yes,
baseline,https://docs.kujolang.ai/ecosystem/core-foundation/,200,200,"default index,follow",https://docs.kujolang.ai/ecosystem/core-foundation/,200,yes,yes,
baseline,https://docs.kujolang.ai/ecosystem/,200,200,"default index,follow",https://docs.kujolang.ai/ecosystem/,200,yes,yes,
baseline,https://docs.kujolang.ai/ecosystem/primitives/,200,200,"default index,follow",https://docs.kujolang.ai/ecosystem/primitives/,200,yes,yes,
baseline,https://docs.kujolang.ai/ecosystem/providers/,200,200,"default index,follow",https://docs.kujolang.ai/ecosystem/providers/,200,yes,yes,
baseline,https://docs.kujolang.ai/ecosystem/showcases/,200,200,"default index,follow",https://docs.kujolang.ai/ecosystem/showcases/,200,yes,yes,
baseline,https://docs.kujolang.ai/ecosystem/tooling/,200,200,"default index,follow",https://docs.kujolang.ai/ecosystem/tooling/,200,yes,yes,
baseline,https://docs.kujolang.ai/install/,200,200,"default index,follow",https://docs.kujolang.ai/install/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/ai-runtime/,200,200,"default index,follow",https://docs.kujolang.ai/learn/ai-runtime/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/capabilities/,200,200,"default index,follow",https://docs.kujolang.ai/learn/capabilities/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/editor-support/,200,200,"default index,follow",https://docs.kujolang.ai/learn/editor-support/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/,200,200,"default index,follow",https://docs.kujolang.ai/learn/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/language-basics/,200,200,"default index,follow",https://docs.kujolang.ai/learn/language-basics/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/packages/,200,200,"default index,follow",https://docs.kujolang.ai/learn/packages/,200,yes,yes,
baseline,https://docs.kujolang.ai/learn/runtime/,200,200,"default index,follow",https://docs.kujolang.ai/learn/runtime/,200,yes,yes,
baseline,https://docs.kujolang.ai/quickstart/,200,200,"default index,follow",https://docs.kujolang.ai/quickstart/,200,yes,yes,
baseline,https://docs.kujolang.ai/reference/,200,200,"default index,follow",https://docs.kujolang.ai/reference/,200,yes,yes,
baseline,https://docs.kujolang.ai/release-boundaries/,200,200,"default index,follow",https://docs.kujolang.ai/release-boundaries/,200,yes,yes,
baseline,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,200,200,"default index,follow",https://docs.kujolang.ai/review/browser-architecture-and-privacy/,200,yes,yes,
baseline,https://docs.kujolang.ai/review/context-and-task-contracts/,200,200,"default index,follow",https://docs.kujolang.ai/review/context-and-task-contracts/,200,yes,yes,
baseline,https://docs.kujolang.ai/review/evidence-and-run-history/,200,200,"default index,follow",https://docs.kujolang.ai/review/evidence-and-run-history/,200,yes,yes,
baseline,https://docs.kujolang.ai/review/,200,200,"default index,follow",https://docs.kujolang.ai/review/,200,yes,yes,
baseline,https://docs.kujolang.ai/review/quality-and-release-gates/,200,200,"default index,follow",https://docs.kujolang.ai/review/quality-and-release-gates/,200,yes,yes,
baseline,https://docs.kujolang.ai/review/tests-and-evaluation/,200,200,"default index,follow",https://docs.kujolang.ai/review/tests-and-evaluation/,200,yes,yes,
baseline,https://docs.kujolang.ai/security/,200,200,"default index,follow",https://docs.kujolang.ai/security/,200,yes,yes,
baseline,https://docs.kujolang.ai/showcases/ai-chat/,200,200,"default index,follow",https://docs.kujolang.ai/showcases/ai-chat/,200,yes,yes,
