phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://docs.kujolang.ai/,Kujo Docs,Kujo Docs,developer reference and task completion,Kujo Docs,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/agent-credentials/,Manage Agent Credentials and Connectors | Kujo Docs,Manage Agent Credentials and Connectors,developer reference and task completion,Manage Agent Credentials and Connectors,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/agent-operations/,Operate and Harden Agent Projects | Kujo Docs,Operate and Harden Agent Projects,developer reference and task completion,Operate and Harden Agent Projects,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/agent-profiles/,Choose an Agent Project Profile | Kujo Docs,Choose an Agent Project Profile,developer reference and task completion,Choose an Agent Project Profile,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/ai-and-agents/,AI and agents | Kujo Docs,AI and agents,developer reference and task completion,AI and agents,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/applications-and-publishing/,Applications and publishing | Kujo Docs,Applications and publishing,developer reference and task completion,Applications and publishing,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/editorial-publishing/,Editorial publishing | Kujo Docs,Editorial publishing,developer reference and task completion,Editorial publishing,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/,Build | Kujo Docs,Build with Kujo,developer reference and task completion,Build with Kujo,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,Knowledge and retrieval | Kujo Docs,Knowledge and retrieval,developer reference and task completion,Knowledge and retrieval,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/owned-agent-projects/,Repository-owned Agent Projects | Kujo Docs,Repository-owned Agent Projects,developer reference and task completion,Repository-owned Agent Projects,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/publishing-house-operator/,Publishing House operator | Kujo Docs,Publishing House operator,developer reference and task completion,Publishing House operator,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/web-operations/,Web operations | Kujo Docs,Web operations,developer reference and task completion,Web operations,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/build/workflows-and-approvals/,Workflows and approvals | Kujo Docs,Workflows and approvals,developer reference and task completion,Workflows and approvals,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/choose-a-path/,Choose a path | Kujo Docs,Choose a path,developer reference and task completion,Choose a path,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/collections/agents/,Agents | Kujo Docs,Agents,developer reference and task completion,Agents,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/collections/benchmarks/,Benchmarks | Kujo Docs,Benchmarks,developer reference and task completion,Benchmarks,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/collections/,Collections | Kujo Docs,Collections,developer reference and task completion,Collections,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/collections/skills/,Skills | Kujo Docs,Skills,developer reference and task completion,Skills,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/collections/workflows/,Workflows | Kujo Docs,Workflows,developer reference and task completion,Workflows,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/ecosystem/core-foundation/,Core / Foundation | Kujo Docs,Core / Foundation,developer reference and task completion,Core / Foundation,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/ecosystem/,Ecosystem | Kujo Docs,Kujo ecosystem,developer reference and task completion,Kujo ecosystem,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/ecosystem/primitives/,Primitives | Kujo Docs,Primitives,developer reference and task completion,Primitives,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/ecosystem/providers/,Providers | Kujo Docs,Providers,developer reference and task completion,Providers,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/ecosystem/showcases/,Showcase Directory | Kujo Docs,Showcase Directory,developer reference and task completion,Showcase Directory,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/ecosystem/tooling/,Tooling | Kujo Docs,Tooling,developer reference and task completion,Tooling,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/install/,Install Kujo | Kujo Docs,Install Kujo,developer reference and task completion,Install Kujo,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/ai-runtime/,AI runtime basics | Kujo Docs,AI runtime basics,developer reference and task completion,AI runtime basics,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/capabilities/,Capabilities and safe execution | Kujo Docs,Capabilities and safe execution,developer reference and task completion,Capabilities and safe execution,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/editor-support/,Editor and CLI support | Kujo Docs,Editor and CLI support,developer reference and task completion,Editor and CLI support,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/,Learn | Kujo Docs,Learn Kujo,developer reference and task completion,Learn Kujo,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/language-basics/,Language basics | Kujo Docs,Language basics,developer reference and task completion,Language basics,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/packages/,Packages with Kennel | Kujo Docs,Packages with Kennel,developer reference and task completion,Packages with Kennel,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/learn/runtime/,How the runtime works | Kujo Docs,How the runtime works,developer reference and task completion,How the runtime works,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/quickstart/,Quickstart | Kujo Docs,Quickstart,developer reference and task completion,Quickstart,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/reference/,Reference | Kujo Docs,Reference,developer reference and task completion,Reference,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/release-boundaries/,Release boundaries | Kujo Docs,Release boundaries,developer reference and task completion,Release boundaries,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,"Browser, architecture, and privacy checks | Kujo Docs","Browser, architecture, and privacy checks",developer reference and task completion,"Browser, architecture, and privacy checks",,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
