phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://docs.kujolang.ai/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/agent-credentials/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/agent-operations/,https://agents.kujolang.ai/,Agents showcase,article,200,https://agents.kujolang.ai/,0,public GET,,none
baseline,https://docs.kujolang.ai/build/agent-operations/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/agent-profiles/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/ai-and-agents/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/applications-and-publishing/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/editorial-publishing/,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,kujo-workflows 0.4.0 release,article,200,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,0,public GET,,none
baseline,https://docs.kujolang.ai/build/editorial-publishing/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/knowledge-and-retrieval/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://agents.kujolang.ai/,Explore agent examples and starter sets,article,200,https://agents.kujolang.ai/,0,public GET,,none
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://github.com/kujolang/kujo/tree/main/examples/owned-agent-project,self-hosted example,article,200,https://github.com/kujolang/kujo/tree/main/examples/owned-agent-project,0,public GET,,none
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://github.com/kujolang/kujo-workflows/tree/main/owned-agent-project,lifecycle workflow,article,200,https://github.com/kujolang/kujo-workflows/tree/main/owned-agent-project,0,public GET,,none
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://github.com/kujolang/kujo/blob/main/docs/BUILD_AN_AGENT.md,implementation guide,article,200,https://github.com/kujolang/kujo/blob/main/docs/BUILD_AN_AGENT.md,0,public GET,,none
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,kujo-workflows 0.4.0,article,200,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,0,public GET,,none
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,https://github.com/kujolang/kujo-workflows/tree/v0.4.0/publishing-house-operator,Publishing House Operator 0.4.0 source,article,200,https://github.com/kujolang/kujo-workflows/tree/v0.4.0/publishing-house-operator,0,public GET,,none
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,official release,article,200,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,0,public GET,,none
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/web-operations/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/build/workflows-and-approvals/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/choose-a-path/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/agents/,https://github.com/kujolang/kujo-agents,Kujo Agents repository,article,200,https://github.com/kujolang/kujo-agents,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/agents/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/benchmarks/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/skills/,https://kujolang.ai/ecosystem/skills/kujo-way-development/,kujo-way-development,article,200,https://kujolang.ai/ecosystem/skills/kujo-way-development/,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/skills/,https://github.com/kujolang/kujo-skills/blob/main/skills/kujo-way-development/SKILL.md,Read the complete skill source,article,200,https://github.com/kujolang/kujo-skills/blob/main/skills/kujo-way-development/SKILL.md,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/skills/,https://github.com/kujolang/kujo-skills/blob/main/SKILLS_INDEX.md,Browse the released skills index,article,200,https://github.com/kujolang/kujo-skills/blob/main/SKILLS_INDEX.md,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/skills/,https://kujolang.ai,Kujo,footer,200,https://kujolang.ai,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/workflows/,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,0.4.0 release,article,200,https://github.com/kujolang/kujo-workflows/releases/tag/v0.4.0,0,public GET,,none
baseline,https://docs.kujolang.ai/collections/workflows/,https://github.com/kujolang/kujo-workflows/tree/v0.4.0/owned-agent-project,Owned Agent Project workflow,article,200,https://github.com/kujolang/kujo-workflows/tree/v0.4.0/owned-agent-project,0,public GET,,none
