phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://docs.kujolang.ai/,Kujo Docs,Kujo Docs,developer task / reference,Kujo Docs,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/agent-credentials/,Manage Agent Credentials and Connectors | Kujo Docs,Manage Agent Credentials and Connectors,developer task / reference,Manage Agent Credentials and Connectors,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/agent-operations/,Operate and Harden Agent Projects | Kujo Docs,Operate and Harden Agent Projects,developer task / reference,Operate and Harden Agent Projects,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/agent-profiles/,Choose an Agent Project Profile | Kujo Docs,Choose an Agent Project Profile,developer task / reference,Choose an Agent Project Profile,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/ai-and-agents/,AI and agents | Kujo Docs,AI and agents,developer task / reference,AI and agents,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/applications-and-publishing/,Applications and publishing | Kujo Docs,Applications and publishing,developer task / reference,Applications and publishing,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/editorial-publishing/,Editorial publishing | Kujo Docs,Editorial publishing,developer task / reference,Editorial publishing,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/,Build | Kujo Docs,Build with Kujo,developer task / reference,Build with Kujo,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,Knowledge and retrieval | Kujo Docs,Knowledge and retrieval,developer task / reference,Knowledge and retrieval,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/owned-agent-projects/,Repository-owned Agent Projects | Kujo Docs,Repository-owned Agent Projects,developer task / reference,Repository-owned Agent Projects,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/publishing-house-operator/,Publishing House operator | Kujo Docs,Publishing House operator,developer task / reference,Publishing House operator,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/web-operations/,Web operations | Kujo Docs,Web operations,developer task / reference,Web operations,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/build/workflows-and-approvals/,Workflows and approvals | Kujo Docs,Workflows and approvals,developer task / reference,Workflows and approvals,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/choose-a-path/,Choose a path | Kujo Docs,Choose a path,developer task / reference,Choose a path,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/collections/agents/,Agents | Kujo Docs,Agents,developer task / reference,Agents,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/collections/benchmarks/,Benchmarks | Kujo Docs,Benchmarks,developer task / reference,Benchmarks,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/collections/,Collections | Kujo Docs,Collections,developer task / reference,Collections,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/collections/skills/,Skills | Kujo Docs,Skills,developer task / reference,Skills,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/collections/workflows/,Workflows | Kujo Docs,Workflows,developer task / reference,Workflows,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/ecosystem/core-foundation/,Core / Foundation | Kujo Docs,Core / Foundation,developer task / reference,Core / Foundation,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/ecosystem/,Ecosystem | Kujo Docs,Kujo ecosystem,developer task / reference,Kujo ecosystem,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/ecosystem/primitives/,Primitives | Kujo Docs,Primitives,developer task / reference,Primitives,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/ecosystem/providers/,Providers | Kujo Docs,Providers,developer task / reference,Providers,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/ecosystem/showcases/,Showcase Directory | Kujo Docs,Showcase Directory,developer task / reference,Showcase Directory,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/ecosystem/tooling/,Tooling | Kujo Docs,Tooling,developer task / reference,Tooling,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/install/,Install Kujo | Kujo Docs,Install Kujo,developer task / reference,Install Kujo,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/ai-runtime/,AI runtime basics | Kujo Docs,AI runtime basics,developer task / reference,AI runtime basics,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/capabilities/,Capabilities and safe execution | Kujo Docs,Capabilities and safe execution,developer task / reference,Capabilities and safe execution,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/editor-support/,Editor and CLI support | Kujo Docs,Editor and CLI support,developer task / reference,Editor and CLI support,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/,Learn | Kujo Docs,Learn Kujo,developer task / reference,Learn Kujo,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/language-basics/,Language basics | Kujo Docs,Language basics,developer task / reference,Language basics,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/packages/,Packages with Kennel | Kujo Docs,Packages with Kennel,developer task / reference,Packages with Kennel,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/learn/runtime/,How the runtime works | Kujo Docs,How the runtime works,developer task / reference,How the runtime works,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/quickstart/,Quickstart | Kujo Docs,Quickstart,developer task / reference,Quickstart,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/reference/,Reference | Kujo Docs,Reference,developer task / reference,Reference,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/release-boundaries/,Release boundaries | Kujo Docs,Release boundaries,developer task / reference,Release boundaries,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,"Browser, architecture, and privacy checks | Kujo Docs","Browser, architecture, and privacy checks",developer task / reference,"Browser, architecture, and privacy checks",,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/review/context-and-task-contracts/,Context and task contracts | Kujo Docs,Context and task contracts,developer task / reference,Context and task contracts,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/review/evidence-and-run-history/,Evidence and run history | Kujo Docs,Evidence and run history,developer task / reference,Evidence and run history,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/review/,Review | Kujo Docs,Keep work reviewable,developer task / reference,Keep work reviewable,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
after,https://docs.kujolang.ai/review/quality-and-release-gates/,Quality and release gates | Kujo Docs,Quality and release gates,developer task / reference,Quality and release gates,,Kujo,What does this tool do and what are its limits?,,Ability release coverage addressed; broader intent hypotheses require query data,Measure actual queries; preserve source-backed boundaries
